Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
ANT1,ESP32-WROOM-32D,ESP32WROOM32D,78.486,-71.882,270,top
C1,10uF,C_0805_2012Metric,46.929,-101.981,180,top
C2,10uF,C_0805_2012Metric,46.929,-113.538,180,top
C3,10uF,C_0805_2012Metric,46.929,-90.551,180,top
C4,100nF,C_0805_2012Metric,63.168,-68.653,90,top
C5,10uF,C_0805_2012Metric,65.659,-68.641,270,top
C6,0.1uF,C_0805_2012Metric,108.265,-73.66,180,top
C8,100nF,C_0805_2012Metric,65.659,-72.705,270,top
C10,10uF,C_0805_2012Metric,105.868,-88.803,270,top
C11,100nF,C_0805_2012Metric,106.368,-85.753,180,top
C12,0.1uF,C_0805_2012Metric,102.108,-69.53,270,top
D1,POWER_LED,LED_0805_2012Metric,58.7525,-98.425,180,top
D2,D_Schottky,D_SOD-123,55.499,-113.538,0,top
D3,D,D_SOD-123,98.375,-109.855,0,top
D4,ESP_LED,LED_0805_2012Metric,64.6915,-82.169,180,top
D5,D_Small,D_SOD-123,56.515,-106.427,270,top
F1,Polyfuse,Fuse_1206_3216Metric,105.102,-109.855,0,top
IC2,"74HC14D,653",SOIC127P600X175-14N,102.362,-77.47,270,top
Q1,UMH3N,SOT65P230X110-6N,98.618,-87.303,0,top
Q3,PZT2222A,SOT-223-3_TabPin2,52.197,-70.764,270,top
R1,2K,R_0805_2012Metric,58.8245,-95.123,0,top
R2,10K,R_0805_2012Metric,62.23,-72.6675,90,top
R3,5.1K,R_0805_2012Metric,112.068,-101.8655,90,top
R4,5.1K,R_0805_2012Metric,111.968,-87.4655,270,top
R8,10K,R_0805_2012Metric,106.807,-64.6195,90,top
R9,10K,R_0805_2012Metric,102.108,-64.6665,90,top
R10,5K6,R_0805_2012Metric,50.7765,-76.708,0,top
R11,50,R_0805_2012Metric,51.1575,-58.42,0,top
R12,2K,R_0805_2012Metric,64.6195,-77.851,0,top
U1,AMS1117-3.3,SOT-223-3_TabPin2,49.632,-96.506,180,top
U2,AMS1117-5.0,SOT-223-3_TabPin2,49.632,-108.077,180,top
U3,CH340C,SOIC-16_3.9x9.9mm_P1.27mm,100.318,-94.203,270,top
USB1,HRO-TYPE-C-31-M-12,HRO-TYPE-C-31-M-12,116.348,-94.633,90,top
