Reference,Quantity,Value,Footprint,LCSC Part #
"C1, C2, C3, ",3,10uF,SMD_5x5.4mm, C72487
"C5, ",1,10uF,0805,C15850 
"C6, C9, C11, C12, ",4,0.1uF,0805,C49678 
"C7, C8, ",2,47pF,0805,C14857 
"C10, ",1,4.7uF,0805,C1779 
"D1, ",1,POWER_LED,0805,C2297 
"D2, ",1,D_Schottky,SOD-123,C8598 
"D3, ",1,D,SOD-123,C8598 
"D4, ",1,ESP_LED,SOD-123,C8598 
"D5, ",1,D_Small,0805,C2297 
"Q1, Q2, ",2,MMBT3904,SOT-23,C20526 
"Q3, ",1,PZT2222A,SOT-223,C189428 
"R1, ",1,1K,0805,C17513 
"R2, R3, R4, R5, R8, R9, ",6,10K,0805,C17414 
"R6, R7, ",2,27,0805,C17544 
"R10, ",1,5K6,0805,C28636 
"R11, ",1,50,0805,C17408 
"R12, ",1,100R,0805,C17408 
"SW1, ",1,BOOT,SMD-4_6.0x6.0x4.5P-1,C136669 
"SW2, ",1,RESET,SMD-4_6.0x6.0x4.5P-1,C136669 
"U1, ",1,AMS1117-3.3,SOT-223,C6186 
"U2, ",1,AMS1117-5.0,SOT-223,C6187 
"U3, ",1,ESP32-WROOM-32D,SMD-38_EP_18.0x25.5x1.27P,C473012 
"U4, ",1,FT231XQ,QFN-20_EP_4.0x4.0x0.5P,C132159 
"U5, ",1,74HC14,SOIC-14_3.9x8.7x1.27P,C5605 
