"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R3";"R_0805_2012Metric";1;"4.7K";;;
2;"IC1";"QFN50P400X400X80-25N-D";1;"CP2104-F03-GMR";;;
3;"C11,C3,C2,C1,C5";"C_0805_2012Metric";5;"10uF";;;
4;"C7";"R_0805_2012Metric";1;"0.1uF";;;
5;"H4,H3,H2,H1";"MountingHole_3.5mm_Pad_TopBottom";4;"MountingHole_Pad";;;
6;"C6,C4,C10,C9,C8,C12";"C_0805_2012Metric";6;"0.1uF";;;
7;"ANT1";"ESP32WROOM32D";1;"ESP32-WROOM-32D";;;
8;"IC2";"SOIC127P600X175-14N";1;"74HC14D,653";;;
9;"R12";"R_0805_2012Metric";1;"100R";;;
10;"D4";"LED_0805_2012Metric";1;"ESP_LED";;;
11;"S2";"FSM2JRT";1;"RESET";;;
12;"S1";"FSM2JRT";1;"BOOT";;;
13;"J1";"Barrel_Jack_5.5mmODx2.1mmID_PJ-202A";1;"PJ-202A";;;
14;"R2,R4,R5,R8,R9";"R_0805_2012Metric";5;"10K";;;
15;"F1";"Fuse_1206_3216Metric";1;"Polyfuse";;;
16;"G***";"roundel_ss";1;"LOGO";;;
17;"D5";"D_SOD-123";1;"D_Small";;;
18;"D3";"D_SOD-123";1;"D";;;
19;"D2";"D_SOD-123";1;"D_Schottky";;;
20;"D1";"LED_0805_2012Metric";1;"POWER_LED";;;
21;"J2";"USB_Micro-B_Amphenol_10118194_Horizontal";1;"USB_B_Micro";;;
22;"J3";"SolderWire-0.5sqmm_1x02_P4.6mm_D0.9mm_OD2.1mm";1;"LED_RING_PADS";;;
23;"Q1,Q2";"SOT-23";2;"MMBT3904";;;
24;"Q3";"SOT-223-3_TabPin2";1;"PZT2222A";;;
25;"R1";"R_0805_2012Metric";1;"1K";;;
26;"R10";"R_0805_2012Metric";1;"5K6";;;
27;"R11";"R_0805_2012Metric";1;"50";;;
28;"SW3";"SolderWire-0.5sqmm_1x02_P4.6mm_D0.9mm_OD2.1mm";1;"MAIN_BUTTON";;;
29;"U1";"SOT-223-3_TabPin2";1;"AMS1117-3.3";;;
30;"U2";"SOT-223-3_TabPin2";1;"AMS1117-5.0";;;
