"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U3";"SOIC-16_3.9x9.9mm_P1.27mm";1;"CH340C";;;
2;"C11,C4,C8";"C_0805_2012Metric";3;"100nF";;;
3;"USB1";"HRO-TYPE-C-31-M-12";1;"HRO-TYPE-C-31-M-12";;;
4;"R4,R3";"R_0805_2012Metric";2;"5.1K";;;
5;"Q1";"SOT65P230X110-6N";1;"UMH3N";;;
6;"C10,C3,C2,C1,C5";"C_0805_2012Metric";5;"10uF";;;
7;"H4,H3,H2,H1";"MountingHole_3.5mm_Pad_TopBottom";4;"MountingHole_Pad";;;
8;"C6,C12";"C_0805_2012Metric";2;"0.1uF";;;
9;"ANT1";"ESP32WROOM32D";1;"ESP32-WROOM-32D";;;
10;"IC2";"SOIC127P600X175-14N";1;"74HC14D,653";;;
11;"R12,R1";"R_0805_2012Metric";2;"2K";;;
12;"D4";"LED_0805_2012Metric";1;"ESP_LED";;;
13;"S2";"FSM2JRT";1;"RESET";;;
14;"J1";"Barrel_Jack_5.5mmODx2.1mmID_PJ-202A";1;"PJ-202A";;;
15;"R2,R8,R9";"R_0805_2012Metric";3;"10K";;;
16;"F1";"Fuse_1206_3216Metric";1;"Polyfuse";;;
17;"G***";"roundel_ss";1;"LOGO";;;
18;"D5";"D_SOD-123";1;"D_Small";;;
19;"D3";"D_SOD-123";1;"D";;;
20;"D2";"D_SOD-123";1;"D_Schottky";;;
21;"D1";"LED_0805_2012Metric";1;"POWER_LED";;;
22;"J3";"SolderWire-0.5sqmm_1x02_P4.6mm_D0.9mm_OD2.1mm";1;"LED_RING_PADS";;;
23;"Q3";"SOT-223-3_TabPin2";1;"PZT2222A";;;
24;"R10";"R_0805_2012Metric";1;"5K6";;;
25;"R11";"R_0805_2012Metric";1;"50";;;
26;"SW3";"SolderWire-0.5sqmm_1x02_P4.6mm_D0.9mm_OD2.1mm";1;"MAIN_BUTTON";;;
27;"U1";"SOT-223-3_TabPin2";1;"AMS1117-3.3";;;
28;"U2";"SOT-223-3_TabPin2";1;"AMS1117-5.0";;;
